Type,Label,Amount,Direction,OpenPrice,Profit/Loss in pips,OpenDate,CloseDate,Comments,A_Global (アカウントがグローバル・アカウントの場合にtrue),A_CreditLine (取引可能額。値は約5秒間隔で更新されている。),A_Currency (アカウントの通貨設定),A_Equity (純資産額。値は約5秒間隔で更新されている。),A_Leverage (レバレッジ設定),A_MarginCutLevel (マージンカットレベル。このレベルを超過するとマージンカット(ロスカット)。),A_OverWeekEndLeverage (ウィークエンド・レバレッジ・レベル。このレベルを超過するとマージンカット(ロスカット)。),A_UseOfLeverage (証拠金使用率。値は約5秒間隔で更新されている。),A_Balance
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6038,-223.4,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2001413.0,JPY,29274.45,100.0,200,80,31.63,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6056,-163.1,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,2605807.0,JPY,35318.45,100.0,200,80,26.22,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6062,-369.1,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,543989.0,JPY,14700.45,100.0,200,80,63.0,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6068,-323.7,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,998383.0,JPY,19244.45,100.0,200,80,48.12,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6074,-333.2,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,902777.0,JPY,18288.45,100.0,200,80,50.64,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.608,-300.3,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1232171.0,JPY,21582.45,100.0,200,80,42.91,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6098,-266.0,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1576565.0,JPY,25026.45,100.0,200,80,37.0,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6104,-289.5,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1339747.0,JPY,22658.45,100.0,200,80,40.87,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.611,-263.1,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1604141.0,JPY,25302.45,100.0,200,80,36.6,51606.45
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111107_010327_065,0.01,BUY,92.6116,-264.7,2010/01/11 08:00:00 000,,2010/01/11 07:30:00 000 RSI : 11.793229601180956 >> 15.210770045464539,false,1588535.0,JPY,25146.45,100.0,200,80,36.83,51606.45
